firstname,name,mail,password,questiona,questionb,newsletter,isadmin
Hélène,Rolles,helene.rolles@example.com,irLXtI2BBc,bleu,spaghettis,1,0
Patrick,Puydebat,patrick.puydebat@example.com,vIs26wbcDb,rouge,frites,1,0
Meignant,Laly,laly.meignant@example.com,y0RLS2VzzGU,jaune,moules,0,0
Laure,Guibert,laure.guibert@example.com,0ROfFdUX2fV,vert,brochettes,1,0
Philippe,Vasseur,philippe.vasseur@example.com,3igEBgTBHz,turquoize,salsifis,1,1
Rochelle,Redfield,rochelle.redfield@example.com,ke4wq4NeBg,yellow,hamburger,0,1
Magalie,Madison,magalie.madison@example.com,X8tu4JMDX4,jaune fluo,milkshake,0,0
Camille,Raymond,camille.raymond@example.com,NKX6iV12Qc,vert,pâtes,1,0
Julie,Caignault,julie.caignault@example.com,teTP5YoEp6,violet,pâtes,0,0
Claude,Chamboissier,claude.chamboissier@example.com,U2gaQ9Kue2,vert,ratatouille,1,0
Eric,Bouad,eric.bouad@example.com,qR1m9D5Ihl,bleu,glace,1,0
René,Morizur,rene.morizur@example.com,Kl9OKdiEwv,violet,ratatouille,1,0
Bernard,Minet,bernard.minet@example.com,Pj8ijYC5mI,orange,brochettes,0,1
Rémy,Sarrazzin,remy.sarrazzin@example.com,5673axhTod,bleu,steak,1,0
Gérard,Vives,gerard.vives@example.com,mz2GUNxdnJ,rose,crêpes,0,1
Bradley,Cole,bradley.cole@example.com,zn7BpIRQtp,orange,glace,1,1
Ariane,Carletti,ariane.carletti@example.com,MonsieurKADO1,jaune,brochettes,0,1
François,Corbier,francois.corbier@example.com,kYxMPIeR6D,jaune,steak,0,1
Jacky,Jakubiwicz,jacky.jakubiwicz@example.com,Tdp9zrR9la,orange,steak,0,0
Frédérique,Hoshedé,frederique.hoshede@example.com,hgncBp6yc8,bleu,glace,1,0
